Reflex daemon running. Watching hunger/health...
[reflex] 💀 WILSON DIED (darkness) - revive sent
[reflex] 💀 DEAD (darkness) - revive sent
[reflex] DUSK-WARNING: no torch, materials needed (twigs+cutgrass)
[reflex] FLEEING tentacle at 6m -> (351,41)
[reflex] FLEEING tentacle at 5m -> (333,30)
[reflex] FLEEING tentacle at 5m -> (324,37)
[reflex] FLEEING tentacle at 7m -> (351,39)
[reflex] FLEEING tentacle at 6m -> (349,36)
[reflex] FLEEING tentacle at 6m -> (340,55)
[reflex] FLEEING tentacle at 5m -> (326,43)
[reflex] FLEEING tentacle at 3m -> (334,29)
[reflex] FLEEING tentacle at 6m -> (325,35)
[reflex] FLEEING tentacle at 6m -> (337,55)
[reflex] FLEEING tentacle at 6m -> (350,36)
[reflex] FLEEING tentacle at 7m -> (325,33)
[reflex] FLEEING tentacle at 6m -> (329,28)
[reflex] FLEEING tentacle at 5m -> (333,53)
[reflex] FLEEING tentacle at 4m -> (326,49)
[reflex] FLEEING tentacle at 5m -> (348,33)
[reflex] FLEEING tentacle at 2m -> (347,41)
[reflex] FLEEING tentacle at 5m -> (349,37)
[reflex] FLEEING tentacle at 7m -> (327,30)
[reflex] FLEEING tentacle at 6m -> (343,54)
[reflex] FLEEING tentacle at 5m -> (338,54)
[reflex] FLEEING tentacle at 5m -> (328,31)
[reflex] FLEEING tentacle at 5m -> (324,40)
[reflex] FLEEING tentacle at 6m -> (351,41)
[reflex] FLEEING tentacle at 3m -> (348,39)
[reflex] FLEEING tentacle at 6m -> (351,40)
[reflex] FLEEING tentacle at 5m -> (330,29)
[reflex] FLEEING tentacle at 5m -> (336,26)
[reflex] FLEEING tentacle at 4m -> (344,52)
[reflex] FLEEING tentacle at 2m -> (344,49)
